part_no,revision,alternative,preferred,level,item_number,component_part_no,component_revision,spec_function,bom_function,PHR,Quantity,Total Quantity,UoM,Packaging,Description,Aging min (hrs),Aging max (days),Position in machine,hierarchy,function_path,part_path
XEM_B15-1635_03,1,1,1,1,10,XEM_B15-1635XN5_03,1,Compound,Compound,143.75,1.038838,1.038838,kg,,3 steps LRR Body Ply B14-1752,,,,10,Compound.Compound,XEM_B15_1635_03.XEM_B15_1635XN5_03
XEM_B15-1635_03,1,1,1,1,20,GR_4221,6,Global,Global,0.75,0.00542,0.00542,kg,,3 steps LRR Body Ply B14-1752,,,,20,Compound.Global,XEM_B15_1635_03.GR_4221
XEM_B15-1635_03,1,1,1,1,30,GR_4121,5,Global,Global,3.2,0.023125,0.023125,kg,,3 steps LRR Body Ply B14-1752,,,,30,Compound.Global,XEM_B15_1635_03.GR_4121
XEM_B15-1635_03,1,1,1,1,40,GR_4411,5,Global,Global,0.2,0.001445,0.001445,kg,,3 steps LRR Body Ply B14-1752,,,,40,Compound.Global,XEM_B15_1635_03.GR_4411
XEM_B15-1635_03,1,1,1,1,50,GR_2612,4,Global,Global,1,0.007227,0.007227,kg,,3 steps LRR Body Ply B14-1752,,,,50,Compound.Global,XEM_B15_1635_03.GR_2612
XEM_B15-1635_03,1,1,1,2,10,XEM_B15-1635XN4_03,1,Compound,Compound,143.75,1.065083,1.038839,kg,,Remill  LRR Body Ply,,,,10.001,Compound.Compound.Compound,XEM_B15_1635_03.XEM_B15_1635XN5_03.XEM_B15_1635XN4_03
XEM_B15-1635_03,1,1,1,3,10,GR_1152,7,Global,Global,63.15,0.467895,0.456366,kg,,3 steps LRR Body Ply XN4,,,,0010.0010.0010,Compound.Compound.Compound.Global,XEM_B15_1635_03.XEM_B15_1635XN5_03.XEM_B15_1635XN4_03.GR_1152
XEM_B15-1635_03,1,1,1,3,20,GR_1411,7,Global,Global,36.85,0.273032,0.266305,kg,,3 steps LRR Body Ply XN4,,,,0010.0010.0020,Compound.Compound.Compound.Global,XEM_B15_1635_03.XEM_B15_1635XN5_03.XEM_B15_1635XN4_03.GR_1411
XEM_B15-1635_03,1,1,1,3,30,GR_2161,10,Global,Global,25,0.185232,0.180668,kg,,3 steps LRR Body Ply XN4,,,,0010.0010.0030,Compound.Compound.Compound.Global,XEM_B15_1635_03.XEM_B15_1635XN5_03.XEM_B15_1635XN4_03.GR_2161
XEM_B15-1635_03,1,1,1,3,35,GR_2211,8,Global,Global,5,0.037046,0.036133,kg,,3 steps LRR Body Ply XN4,,,,0010.0010.0035,Compound.Compound.Compound.Global,XEM_B15_1635_03.XEM_B15_1635XN5_03.XEM_B15_1635XN4_03.GR_2211
XEM_B15-1635_03,1,1,1,3,40,GR_4311,4,Global,Global,5,0.037046,0.036133,kg,,3 steps LRR Body Ply XN4,,,,0010.0010.0040,Compound.Compound.Compound.Global,XEM_B15_1635_03.XEM_B15_1635XN5_03.XEM_B15_1635XN4_03.GR_4311
XEM_B15-1635_03,1,1,1,3,50,GR_4651,5,Global,Global,0.75,0.005557,0.00542,kg,,3 steps LRR Body Ply XN4,,,,0010.0010.0050,Compound.Compound.Compound.Global,XEM_B15_1635_03.XEM_B15_1635XN5_03.XEM_B15_1635XN4_03.GR_4651
XEM_B15-1635_03,1,1,1,3,60,GR_5111,5,Global,Global,1,0.007409,0.007226,kg,,3 steps LRR Body Ply XN4,,,,0010.0010.0060,Compound.Compound.Compound.Global,XEM_B15_1635_03.XEM_B15_1635XN5_03.XEM_B15_1635XN4_03.GR_5111
XEM_B15-1635_03,1,1,1,3,70,GR_4321,4,Global,Global,2,0.014819,0.014454,kg,,3 steps LRR Body Ply XN4,,,,0010.0010.0070,Compound.Compound.Compound.Global,XEM_B15_1635_03.XEM_B15_1635XN5_03.XEM_B15_1635XN4_03.GR_4321
XEM_B15-1635_03,1,1,1,3,80,GR_3311,7,Global,Global,5,0.037046,0.036133,kg,,3 steps LRR Body Ply XN4,,,,0010.0010.0080,Compound.Compound.Compound.Global,XEM_B15_1635_03.XEM_B15_1635XN5_03.XEM_B15_1635XN4_03.GR_3311
EP_PA40ZH380-644,3,1,1,1,10,ES_L40Z,20,Sidewall,Sidewall L,,1,1,m,,PRE-ASS.  ZIJKANT-40Z B145 VOERING-H380 B=644,,,,10,Pre_Assembly.Sidewall_L,EP_PA40ZH380_644.ES_L40Z
EP_PA40ZH380-644,3,1,1,1,20,ES_R40Z,19,Sidewall,Sidewall R,,1,1,m,,PRE-ASS.  ZIJKANT-40Z B145 VOERING-H380 B=644,,,,20,Pre_Assembly.Sidewall_R,EP_PA40ZH380_644.ES_R40Z
EP_PA40ZH380-644,3,1,1,1,30,EI_H380,5,Innerliner,Innerliner,,1,1,m,,PRE-ASS.  ZIJKANT-40Z B145 VOERING-H380 B=644,,,,30,Pre_Assembly.Innerliner,EP_PA40ZH380_644.EI_H380
EP_PA40ZH380-644,3,1,1,2,20,EM_741,42,Compound,Rim cushion compound,,0.12985,0.12985,kg,,ZIJKANT LINKS   B=145 met velgrandbescherming &  plateau,,,,10.002,Pre_Assembly.Sidewall_L.Rim_cushion_compound,EP_PA40ZH380_644.ES_L40Z.EM_741
EP_PA40ZH380-644,3,1,1,2,30,EM_721,100,Compound,Sidewall compound,,0.421171,0.421171,kg,,ZIJKANT LINKS   B=145 met velgrandbescherming &  plateau,,,,10.003,Pre_Assembly.Sidewall_L.Sidewall_compound,EP_PA40ZH380_644.ES_L40Z.EM_721
EP_PA40ZH380-644,3,1,1,2,20,EM_741,42,Compound,Rim cushion compound,,0.12985,0.12985,kg,,ZIJKANT RECHTS  B=145 met velgrandbescherming & Plateau,,,,20.002,Pre_Assembly.Sidewall_R.Rim_cushion_compound,EP_PA40ZH380_644.ES_R40Z.EM_741
EP_PA40ZH380-644,3,1,1,2,30,EM_721,100,Compound,Sidewall compound,,0.421171,0.421171,kg,,ZIJKANT RECHTS  B=145 met velgrandbescherming & Plateau,,,,20.003,Pre_Assembly.Sidewall_R.Sidewall_compound,EP_PA40ZH380_644.ES_R40Z.EM_721
EP_PA40ZH380-644,3,1,1,2,10,EM_732,85,Compound,Innerliner compound,,0.631,0.631,kg,,VOERING 732  1.35X380,,,,30.001,Pre_Assembly.Innerliner.Innerliner_compound,EP_PA40ZH380_644.EI_H380.EM_732
EP_PA40ZH380-644,3,1,1,3,10,EM_541,9,Compound,Compound,174.35,1.08619,0.125704,kg,,FM LRR Rim cushion,,,,0010.0020.0010,Pre_Assembly.Sidewall_L.Rim_cushion_compound.Compound,EP_PA40ZH380_644.ES_L40Z.EM_741.EM_541
EP_PA40ZH380-644,3,1,1,3,20,GR_4121,5,Global,Global,1.8,0.011213,0.001298,kg,,FM LRR Rim cushion,,,,0010.0020.0020,Pre_Assembly.Sidewall_L.Rim_cushion_compound.Global,EP_PA40ZH380_644.ES_L40Z.EM_741.GR_4121
EP_PA40ZH380-644,3,1,1,3,30,GR_4213,5,Global,Global,2.65,0.016509,0.001911,kg,,FM LRR Rim cushion,,,,0010.0020.0030,Pre_Assembly.Sidewall_L.Rim_cushion_compound.Global,EP_PA40ZH380_644.ES_L40Z.EM_741.GR_4213
EP_PA40ZH380-644,3,1,1,3,40,GR_4411,5,Global,Global,0.3,0.001869,2.16E-04,kg,,FM LRR Rim cushion,,,,0010.0020.0040,Pre_Assembly.Sidewall_L.Rim_cushion_compound.Global,EP_PA40ZH380_644.ES_L40Z.EM_741.GR_4411
EP_PA40ZH380-644,3,1,1,3,50,GR_4111,4,Global,Global,1,0.006229,7.21E-04,kg,,FM LRR Rim cushion,,,,0010.0020.0050,Pre_Assembly.Sidewall_L.Rim_cushion_compound.Global,EP_PA40ZH380_644.ES_L40Z.EM_741.GR_4111
EP_PA40ZH380-644,3,1,1,3,10,EM_521,16,Compound,Compound,170.12,1.057654,0.413467,kg,,Yearly Compensated - FM LRR Sidewall PCR,,,,0010.0030.0010,Pre_Assembly.Sidewall_L.Sidewall_compound.Compound,EP_PA40ZH380_644.ES_L40Z.EM_721.EM_521
EP_PA40ZH380-644,3,1,1,3,20,GR_4213,5,Global,Global,0.68,0.004227,0.001652,kg,,Yearly Compensated - FM LRR Sidewall PCR,,,,0010.0030.0020,Pre_Assembly.Sidewall_L.Sidewall_compound.Global,EP_PA40ZH380_644.ES_L40Z.EM_721.GR_4213
EP_PA40ZH380-644,3,1,1,3,30,GR_4121,5,Global,Global,1.46,0.009077,0.003548,kg,,Yearly Compensated - FM LRR Sidewall PCR,,,,0010.0030.0030,Pre_Assembly.Sidewall_L.Sidewall_compound.Global,EP_PA40ZH380_644.ES_L40Z.EM_721.GR_4121
EP_PA40ZH380-644,3,1,1,3,40,GR_4244,1,Global,Global,0.73,0.004538,0.001774,kg,,Yearly Compensated - FM LRR Sidewall PCR,,,,0010.0030.0040,Pre_Assembly.Sidewall_L.Sidewall_compound.Global,EP_PA40ZH380_644.ES_L40Z.EM_721.GR_4244
EP_PA40ZH380-644,3,1,1,3,50,GR_4411,5,Global,Global,0.3,0.001865,7.29E-04,kg,,Yearly Compensated - FM LRR Sidewall PCR,,,,0010.0030.0050,Pre_Assembly.Sidewall_L.Sidewall_compound.Global,EP_PA40ZH380_644.ES_L40Z.EM_721.GR_4411
EP_PA40ZH380-644,3,1,1,3,10,EM_541,9,Compound,Compound,174.35,1.08619,0.125704,kg,,FM LRR Rim cushion,,,,0020.0020.0010,Pre_Assembly.Sidewall_R.Rim_cushion_compound.Compound,EP_PA40ZH380_644.ES_R40Z.EM_741.EM_541
EP_PA40ZH380-644,3,1,1,3,20,GR_4121,5,Global,Global,1.8,0.011213,0.001298,kg,,FM LRR Rim cushion,,,,0020.0020.0020,Pre_Assembly.Sidewall_R.Rim_cushion_compound.Global,EP_PA40ZH380_644.ES_R40Z.EM_741.GR_4121
EP_PA40ZH380-644,3,1,1,3,30,GR_4213,5,Global,Global,2.65,0.016509,0.001911,kg,,FM LRR Rim cushion,,,,0020.0020.0030,Pre_Assembly.Sidewall_R.Rim_cushion_compound.Global,EP_PA40ZH380_644.ES_R40Z.EM_741.GR_4213
EP_PA40ZH380-644,3,1,1,3,40,GR_4411,5,Global,Global,0.3,0.001869,2.16E-04,kg,,FM LRR Rim cushion,,,,0020.0020.0040,Pre_Assembly.Sidewall_R.Rim_cushion_compound.Global,EP_PA40ZH380_644.ES_R40Z.EM_741.GR_4411
EP_PA40ZH380-644,3,1,1,3,50,GR_4111,4,Global,Global,1,0.006229,7.21E-04,kg,,FM LRR Rim cushion,,,,0020.0020.0050,Pre_Assembly.Sidewall_R.Rim_cushion_compound.Global,EP_PA40ZH380_644.ES_R40Z.EM_741.GR_4111
