TR Part no,TR Rev,TR Plant,IL Innerliner Material,IL Innerliner Compound,IL Innerliner Width,IL Innerliner Gauge,IL Innerliner Length,TL Technical Layer Width,TL Technical Layer Gauge,TL Technical Layer Length,IL Squeegee Compound,IL Squeegee Width,IL Squeegee Gauge,IL Squeegee position from centre to outside strip,SW Sidewall,SW Sidewall Compound,SW Rim cushion Compound,SW Extruder 1,SW Die 1,SW Preformer 1,SW Extruder 2,SW Die 2,SW Preformer 2,SW Width,SW Gauge at G,SW Length,SW Rim cushion transition starting point,SW Rim cushion transition ending point,PA Pre-Assembly Width,PA Overlap (SW/IL),PL Ply 1 Material,PL Ply 1 Fabric,PL Ply 1 Compound,PL Ply 1 Angle,PL Ply 1 Width,PL Ply 1 Turn up,PL Ply 1 Gauge,PL Ply 1 Length,PL Ply 2 Material,PL Ply 2 Fabric,PL Ply 2 Compound,PL Ply2 Angle,PL Ply2 Width,PL Ply 2 Turn up,PL Ply 2 Gauge,PL Ply 2 Length,BD Bead wire material,BD Bead Construction,BD Bead Compound,BD Bead Code,BD Bead Turns,BD Bead Wires,BD Bead Inside Circumference,BD Bead Layer Thickness,BD Bead Development,BD Extruder 1,BD Die 1,BD Filler Die 1,BD Forming wheel 1,BD Extruder 2,BD Die 2,BD Filler Die 2,BD Forming wheel 2,BD Apex Compound,BD Apex Height,BD Apex Height from DD
EF_PROEFBAND A1 UF,2,ENS,,,,,,,,,- TODO -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- TODO -,,,,,,,,,,,
GF_2056018WPRQB,2,GYO,GL_LAQ1400F400NGM,GM_L2002,400,1.1500000000000001,1.391,400,0.6,1.391,- TODO -,,,,GS_WBTV155OE,GM_Z5020,GM_R5026,PEXTQUA: PCR Extruder Quadruplex group,0,0,,,,155,,1.391,,,,,GR_RL05M900560,,,90,560,60,1.4000000000000001,1.402,,,,,,,,,605512,Hexa-wired,,GB_AH145900404543W,4,5,1459,1,- TODO -,PAPX: PCR Bead apexing machine group,,GVA040043,GBF-18-454,,,,,GM_A4012,45,
GF_2056517WPRHB,7,GYO,GL_LAQ1410F410,GM_L2002,410,1.1500000000000001,1.312,410,0.6,1.312,- TODO -,,,,GS_WBTV165TOE,GM_Z5020,GM_R5026,PEXTQUA: PCR Extruder Quadruplex group,0,0,,,,165,,1.312,,,,,GR_PK01M900560,,,90,560,65,1.42,1.323,,,,,,,,,605512,Hexa-wired,,GB_AH138100354543W,4,5,1381,1,- TODO -,PAPX: PCR Bead apexing machine group,,GVA035043,GBF-18-454,,,,,GM_A4012,40,
GF_2056018WPRHB,5,GYO,GL_LAQ1400F400NGM,GM_L2002,400,1.1500000000000001,1.391,400,0.6,1.391,- TODO -,,,,GS_WBTV155OE,GM_Z5020,GM_R5026,PEXTQUA: PCR Extruder Quadruplex group,0,0,,,,155,,1.391,,,,,GR_RL05M900560,,,90,560,70,1.4000000000000001,1.402,,,,,,,,,605512,Hexa-wired,,GB_AH145900404543W,4,5,1459,1,- TODO -,PAPX: PCR Bead apexing machine group,,GVA040043,GBF-18-454,,,,,GM_A4012,45,
GF_2056517WPRQB,2,GYO,GL_LAQ1410F410,GM_L2002,410,1.1500000000000001,1.312,410,0.6,1.312,- TODO -,,,,GS_WBTV165TOE,GM_Z5020,GM_R5026,PEXTQUA: PCR Extruder Quadruplex group,0,0,,,,165,,1.312,,,,,GR_PK01M900560,,,90,560,60,1.42,1.323,,,,,,,,,605512,Hexa-wired,,GB_AH138100354543W,4,5,1381,1,- TODO -,PAPX: PCR Bead apexing machine group,,GVA035043,GBF-18-454,,,,,GM_A4012,40,
GF_1955016ULAXV,16,GYO,GL_LAQ1360F360,GM_L2002,360,1.1500000000000001,1.212,360,0.6,1.212,- TODO -,,,,GS_WBTV130,GM_Z5020,GM_R5026,PEXTQUA: PCR Extruder Quadruplex group,0,0,,,,130,,1.212,,,,,GR_PG01M900480,,,90,480,50,1.28,1.223,,,,,,,,,605512,Hexa-wired,,GB_AH128350304543,4,5,1283.5,1,- TODO -,PAPX: PCR Bead apexing machine group,,GVA030043,GBF-18-454,,,,,GM_A4012,35,
GF_2354018HYPXY,21,GYO,GL_LAQ1370F370,GM_L2002,370,1.1500000000000001,1.391,370,0.6,1.391,- TODO -,,,,GS_WETV110,GM_Z5020,GM_R5026,PEXTQUA: PCR Extruder Quadruplex group,0,0,,,,110,,1.391,,,,,GR_PG01M900480,,,90,480,34.9,1.28,1.402,GR_PG01M900410,,,90,410,9.700000000000001,1.28,1.41,605512,Hexa-wired,,GB_AH146450124543W,4,5,1464.5,1,- TODO -,PAPX: PCR Bead apexing machine group,,GVA012043,GBF-18-454,,,,,GM_A4012,18,
GF_2254018HYPXY,26,GYO,GL_LAQ1360F360,GM_L2002,360,1.1500000000000001,1.391,360,0.6,1.391,- TODO -,,,,GS_WETV110,GM_Z5020,GM_R5026,PEXTQUA: PCR Extruder Quadruplex group,0,0,,,,110,,1.391,,,,,GR_PG01M900460,,,90,460,41,1.28,1.402,GR_PG01M900390,,,90,390,9,1.28,1.41,605512,Hexa-wired,,GB_AH146450124543W,4,5,1464.5,1,- TODO -,PAPX: PCR Bead apexing machine group,,GVA012043,GBF-18-454,,,,,GM_A4012,18,
GF_2055017USAXY,23,GYO,GL_LAQ1370F370,GM_L2002,370,1.1500000000000001,1.312,370,0.6,1.312,- TODO -,,,,GS_WETV135,GM_Z5020,GM_R5026,PEXTQUA: PCR Extruder Quadruplex group,0,0,,,,135,,1.312,,,,,GR_PK01M900520,,,90,520,59,1.42,1.323,,,,,,,,,605512,Hexa-wired,,GB_AH138100404543,4,5,1381,1,- TODO -,PAPX: PCR Bead apexing machine group,,GVA040043,GBF-18-454,,,,,GM_A4012,45,
GF_2255519USANW,12,GYO,GL_LAQ1420F420,GM_L2002,420,1.1500000000000001,1.457,420,0.6,1.457,- TODO -,,,,GS_WETV155,GM_Z5020,GM_R5026,PEXTQUA: PCR Extruder Quadruplex group,0,0,,,,155,,1.457,,,,,GR_PK01M900570,,,90,570,60,1.42,1.468,,,,,,,,,605512,Hexa-wired,,GB_AH153900405654,4,6,1539,1,- TODO -,PAPX: PCR Bead apexing machine group,,GVA040054,GBF-18-454,,,,,GM_A4012,45,
