pa.part_no;pa.description;pp.plant;h.revision;h.status;h.frame_id;h.class3_id;productcat_desc;st.sort_desc;sp.section_id;section_desc;sp.sub_section_id;subsection_desc;sp.property_group;prop_group_desc;sp.property;property_desc;sp.attribute;sp.uom_id;uom_desc;sp.test_method;test_desc;sp.num_1;sp.num_2;sp.char_1;sp.char_2;ch.characteristic_id;char_desc
GF_1955516QT6XV;195/55R16 91V XL Quatrac;GYO;15;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701563;General tyre characteristics;703455;Brand;0;;;;;;;;;900486;Vredestein
GF_1955516QT6XV;195/55R16 91V XL Quatrac;GYO;15;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701563;General tyre characteristics;703418;Category;0;;;;;;;;;900530;All Season
GF_1955516QT6XV;195/55R16 91V XL Quatrac;GYO;15;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701563;General tyre characteristics;703544;Load index class;0;;;;;;;;;900611;XL
GF_1955516QT6XV;195/55R16 91V XL Quatrac;GYO;15;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701563;General tyre characteristics;703422;Productline;0;;;;;;;;;647;Quatrac
GF_1955516QT6XV;195/55R16 91V XL Quatrac;GYO;15;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701563;General tyre characteristics;714215;Structure;0;;;;;;;;;903544;Radial
GF_1955516QT6XV;195/55R16 91V XL Quatrac;GYO;15;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701563;General tyre characteristics;714201;Traction marking;0;;;;;;;;;900485;No
GF_1955516QT6XV;195/55R16 91V XL Quatrac;GYO;15;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701563;General tyre characteristics;711128;Tubetype/tubeless;0;;;;;;;;;901099;Tubeless
GF_1955516QT6XV;195/55R16 91V XL Quatrac;GYO;15;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701563;General tyre characteristics;711748;Tyre class;0;;;;;;;;;901322;C1
GF_1955516QT6XV;195/55R16 91V XL Quatrac;GYO;15;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701563;General tyre characteristics;705088;Winter indication;0;;;;;;;;;903196;M&S+Alpine
GF_1955516QT6XV;195/55R16 91V XL Quatrac;GYO;15;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701568;Sidewall designation;712289;DOT Manufacturers Code;0;;;;;;;19B726;;;
GF_1955516QT6XV;195/55R16 91V XL Quatrac;GYO;15;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701568;Sidewall designation;705629;DOT Plant Code;0;;;;;;;023;;;
GF_1955516QT6XV;195/55R16 91V XL Quatrac;GYO;15;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701568;Sidewall designation;713757;Made in ;0;;;;;;;HUNGARY;;;
GF_1955516QT6XV;195/55R16 91V XL Quatrac;GYO;15;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701568;Sidewall designation;705210;Max. load;0;;;;;;;615 kg (1356 lbs);;;
GF_1955516QT6XV;195/55R16 91V XL Quatrac;GYO;15;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701568;Sidewall designation;705669;Max. pressure;0;700591;kPa;;;;;350 kPa (51 psi);;;
GF_1955516QT6XV;195/55R16 91V XL Quatrac;GYO;15;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701568;Sidewall designation;705229;Plies sidewall;0;;;;;;;1 POLYESTER;;;
GF_1955516QT6XV;195/55R16 91V XL Quatrac;GYO;15;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701568;Sidewall designation;705230;Plies tread;0;;;;;;;1 POLYESTER + 2 STEEL + 1 POLYAMIDE;;;
GF_1955516QT6XV;195/55R16 91V XL Quatrac;GYO;15;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701568;Sidewall designation;705233;Quality grading;0;;;;;;;400 A A;;;
GF_1955516QT6XV;195/55R16 91V XL Quatrac;GYO;15;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701568;Sidewall designation;705634;Size designation;0;;;;;;;195/55 R 16 91V;;;
GF_1955516QT6XV;195/55R16 91V XL Quatrac;GYO;15;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701569;Size;703417;Aspect ratio;0;;;;;;;55;;;
GF_1955516QT6XV;195/55R16 91V XL Quatrac;GYO;15;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701569;Size;703421;Load index;0;;;;;;;91;;;
GF_1955516QT6XV;195/55R16 91V XL Quatrac;GYO;15;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701569;Size;703420;Load index (dual);0;;;;;;;;;;
GF_1955516QT6XV;195/55R16 91V XL Quatrac;GYO;15;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701569;Size;703423;Rimcode;0;;;;;;;16;;;
GF_1955516QT6XV;195/55R16 91V XL Quatrac;GYO;15;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701569;Size;703424;Section width;0;;;;;;;195;;;
GF_1955516QT6XV;195/55R16 91V XL Quatrac;GYO;15;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;700579;General information;0;(none);701569;Size;703425;Speed index;0;;;;;;;V;;;
GF_1955516QT6XV;195/55R16 91V XL Quatrac;GYO;15;128;A_PCR;700309;Passenger Car Tyres;CRRNT QR5;701095;Labels and certification;0;(none);704176;Labels Noise;714102;Europe;0;;;;;2;70;;;;
