; Nr	Tag	;frame	"section,"	sub-section	propertygroup	property	field	Name	Type	Processing
;									C	0
;									C	0
32	BrandName		General information		General tyre characteristics	Brand	CHARACTERISTIC	Brand name	C	0
33	MouldCode	A_PCR	D-spec		Master drawing general	Segment	CHAR_1	Mould code	C	0
34	ProfileCode		General information		Size	Productlinecode	CHAR_1	Profile code	C3	0
35	ProfileName	A_PCR	General information		General tyre characteristics	Productline	CHARACTERISTIC	Profile name	C	0
36	AsymInd		General information		General tyre characteristics	Asymmetric	CHARACTERISTIC	Asymmetrical	B	0
37	DirInd		General information		General tyre characteristics	Directional	CHARACTERISTIC	Directional	B	0
38	LoadRange	A_PCR	General information		General tyre characteristics	Load index class	CHARACTERISTIC	Load range	C	0
39	RimProt		General information		General tyre characteristics	Rim protector	CHARACTERISTIC	Rim protector	C	0
40	RunFlatInd	A_PCR	General information		General tyre characteristics	Runflat	CHARACTERISTIC	Run flat	B	0
41	WinterInd		General information		General tyre characteristics	Winter indication	CHARACTERISTIC	Winter indicator	C	0
42	TyreSegmentationPCT 		General information		General tyre characteristics	Category	CHARACTERISTIC	Tyre segmentation	C	0
43	TyreTypePCT_ACT	A_PCR	General information		General tyre characteristics	Tubetype/tubeless	CHARACTERISTIC	Tyre type	C	0
44	TyreTypeTWT							Tyretype TWT	C	0
45	SectionWidthCode		General information		Size	Section width	CHAR_1	Section width code	I	0
46	RealSectionWidth	A_PCR	D-spec		D-Spec (tyre measurements)	Tyre width (max)	NUM_1	Real section width	I	0
47	AspectRatio		General information		Size	Aspect ratio	CHAR_1	Aspect ratio	I	0
48	RimCode		General information		Size	Rimcode	CHAR_1	Rim code	F	0
49	Diameter		D-spec		D-Spec (tyre measurements)	Tyre diameter	NUM_1	Diameter	I	0
50	OverallDia							Overall diameter	I	0
51	Dimension_mm							Dimension (mm)	C	0
52	Dimension_inch							Dimension (inch)	C	0
53	SpeedIndex		General information		Size	Speed index	CHAR_1	Speed index	C	0
54	SpeedIndex2							Speedindex 2	C	0
55	MaxSpeed	A_PCR	General information		General tyre characteristics	Vmax Y (km/h)	CHARACTERISTIC	Maximum speed	I	0
56	MaxSpeed_2							Maximum speed 2	C	0
57	SizeDesignation		General information		Sidewall designation	Size designation	CHAR_1	Size designation	C	0
58	EtrtoSize							ETRTO size	C	0
59	Colour							Colour	C	0
60	UstTubeless							UST Tubeless	B	0
61	TubelessReady							Tubeless ready	B	0
62	RadialConstruction	_TEXT	TRUE					Radial Construction	B	0
63	PlyRating							Ply rating	I	0
64	LoadCapacity		General information		Sidewall designation	Max. load	CHAR_1	Loadcapacity (kg)	I	0
65	Weight	A_PCR	D-spec		D-Spec (tyre measurements)	Tyre weight	NUM_1	Weight	F	0
66	CommercialWeight							Commercial weight	F	0
67	DotInd	A_PCR	General information		Sidewall designation	DOT Plant Code	CHAR_1	DOT indicator	B	0
68	BeginDOT							Begin DOT	C	0
69	EndDOT							End DOT	C	0
70	VersionNumber							Version number	I	0
71	E-ApprovalCodeSound	A_PCR	General information		Sidewall designation	E-appr. code (S/W/R)	CHAR_1	E-Approval sound	C	0
72	E-approvalCode	A_PCR	General information		Sidewall designation	E-approval code	CHAR_1	E-Approval code	C	0
73	OemAppInd							OEM approval	B	0
74	PliesSidewall	A_PCR	General information		Sidewall designation	Plies sidewall	CHAR_1	Plies sidewall	C	0
75	PliesTread	A_PCR	General information		Sidewall designation	Plies tread	CHAR_1	Plies tread	C	0
76	QualityGradingWear							QualityGrading tread	C	0
77	QualityGradingTraction							QualityGrading Wear	C	0
78	QualityGradingTemperature							QualityGrading Temperature	C	0
79	TreadDpth							Tread depth	F	0
80	MinPress							Min Pressure	F	0
81	MaxPress							Max pressure	F	0
82	TyrePress	A_PCR	General information		ETRTO properties	ETRTO infl pressure	NUM_1	Tyre pressure	I	0
83	NominalTyrePress							Nominal tyrepressure	I	0
84	MaxPressure	A_PCR	General information		Sidewall designation	Max. pressure	CHAR_1	Max Pressure	I	0
85	Press_130							Pressure 130kmh	F	0
86	ActTyreDia							Actual diameter	I	0
87	ActTyreWeight							Actual weight	F	0
88	ActTyreWidth 							Actual width	F	0
89	LoadIndex		General information		Size	Load index	CHAR_1	Loadindex	I	0
90	LoadIndex_2		General information		Size	Load index (dual)	CHAR_1	Loadindex double	I	0
91	MaxLoadKg	A_PCR	General information		Sidewall designation	Max. load	CHAR_1	MaxLoad Kg	I	0
92	MaxLoadLbs	A_PCR	General information		Sidewall designation	Max. load	CHAR_1	MaxLoad Lbs	I	1
93	MaxLoad2Kg	A_PCR	General information		Sidewall designation	Max. load (dual)	CHAR_1	MaxLoad double Kg	I	0
94	MaxLoad2Lbs	A_PCR	General information		Sidewall designation	Max. load (dual)	CHAR_1	MaxLoad double Lbs	I	1
95	EtrtoTargetRimWidth	A_PCR	General information		ETRTO properties	ETRTO rimwidth	NUM_1	ETRTO Target Rimwidth	F	0
96	EtrtoLslRimWidth	A_PCR	General information		ETRTO properties	ETRTO rimwidth	NUM_2	ETRTO LSL Rimwidth	F	0
97	EtrtoUslRimWidth	A_PCR	General information		ETRTO properties	ETRTO rimwidth	NUM_3	ETRTO USL Rimwidth	F	0
98	ApprRimWidthPlus	A_PCR	General information		VR approved rimwidth	ETRTO LSL -0.5	BOOLEAN_1	VR-approved -0.5	B	0
99	ApprRimWidthMinus	A_PCR	General information		VR approved rimwidth	ETRTO USL +0.5	BOOLEAN_1	VR-approved +0.5	B	0
100	RecommRimWidth							Recommended rimwidth	C	0
101	PermRimWidth							Permitted rimwidth	C	0
102	AltRimWidth							Alternative rimwidth	C	0
103	TargetDia							Target Diameter	I	0
104	TargetSectWidth							Target Section width	F	0
105	TargetInflPress							Targer Pressure	I	0
106	TargetLoadCap							Target LoadCapacity	I	0
107	TargetMaxLoad							Target Max Axleload	I	0
108	TPI							TPI	I	0
109	SRI							SRI	C	0
110	PR_SD							PR/SD	C	0
111	Content_75							Content 75%	I	0
112	StaticLoadRadius							Static loadradius	I	0
113	RollCirc							Rolling circumference	I	0
114	TreadPattern							Tread pattern	C	0
115	Valve							Valve	C	0
116	LoadCap_20							LoadCapacity 20kmh	I	0
117	LoadCap_30							LoadCapacity 30kmh	I	0
118	LoadCap_40							LoadCapacity 40kmh	I	0
119	LoadCap_10							LoadCapacity 10kmh	I	0
120	LoadCap_130							LoadCapacity 130kmh	I	0
;121	WetGripPCT	A_PCR	Properties		Outdoor testing	ECE Wet Grip labeling (trailer)	CHAR_1	WetGrip PCT	C	0
