AllObjMajorVersion-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AllowXsltScript-Enables/Disabled the <script> element functionality in XLST;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CancelWithoutComment-Cancel without comment;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;;tk-All-Change status#up-All-Change status;;tk-All-Change status#up-All-Change status;;;tk-All-Change status#up-All-Change status;;;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;;;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;;;;;tk-All-Change status#up-All-Change status;;tk-All-Change status#up-All-Change status;;;tk-All-Change status#up-All-Change status
chDefTask-Default task for chart drop-down;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
chEqDefTask-Default task for equipment chart drop-down;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ChngeSs_AllowReanal-Display reanalysis status;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ConfirmStatusChange-Confirm status change;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dcCreate-Document creation management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dcDefCreateLayout-Layout for the Create document window;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dcDefCreateTask-Default task for Create Document window;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dcDefLayout-Layout for Document list window;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
decimal_symbol-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DefCsCnLayout-Condition set definition;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DefLoCsLayout-Define storage location;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DefPpPrLayout-Parameter layout;tk-Parameter Profile-Default layout#up-Parameter Profile-Default layout;tk-Parameter Profile-Default layout#up-Parameter Profile-Default layout;tk-Parameter Profile-Default layout#up-Parameter Profile-Default layout;tk-Parameter Profile-Default layout#up-Parameter Profile-Default layout;tk-Parameter Profile-Default layout#up-Parameter Profile-Default layout;tk-Parameter Profile-Default layout#up-Parameter Profile-Default layout;tk-Parameter Profile-Default layout#up-Parameter Profile-Default layout;tk-Parameter Profile-Default layout#up-Parameter Profile-Default layout;tk-Parameter Profile-Default layout#up-Parameter Profile-Default layout;tk-Parameter Profile-Default layout#up-Parameter Profile-Default layout;;tk-Parameter Profile-Default layout#up-Parameter Profile-Default layout;tk-Parameter Profile-Default layout#up-Parameter Profile-Default layout;tk-Parameter Profile-Default layout#up-Parameter Profile-Default layout;;tk-Parameter Profile-Default layout#up-Parameter Profile-Default layout;;;tk-Parameter Profile-Default layout#up-Parameter Profile-Default layout;;;;tk-Parameter Profile-Default layout#up-Parameter Profile-Default layout;tk-Parameter Profile-Default layout#up-Parameter Profile-Default layout;tk-Parameter Profile-Default layout#up-Parameter Profile-Default layout;tk-Parameter Profile-Default layout#up-Parameter Profile-Default layout;tk-Parameter Profile-Default layout#up-Parameter Profile-Default layout;tk-Parameter Profile-Default layout#up-Parameter Profile-Default layout;tk-Parameter Profile-Default layout#up-Parameter Profile-Default layout;;;;tk-Parameter Profile-Default layout#up-Parameter Profile-Default layout;tk-Parameter Profile-Default layout#up-Parameter Profile-Default layout;tk-Parameter Profile-Default layout#up-Parameter Profile-Default layout;tk-Parameter Profile-Default layout#up-Parameter Profile-Default layout;tk-Parameter Profile-Default layout#up-Parameter Profile-Default layout;;;tk-Parameter Profile-Default layout#up-Parameter Profile-Default layout;;tk-Parameter Profile-Default layout#up-Parameter Profile-Default layout;;tk-Parameter Profile-Default layout#up-Parameter Profile-Default layout;;;tk-Parameter Profile-Default layout#up-Parameter Profile-Default layout
DefPrMtLayout-Method list layout;tk-Parameter-Default layout#up-Parameter-Default layout;tk-Parameter-Default layout#up-Parameter-Default layout;tk-Parameter-Default layout#up-Parameter-Default layout;tk-Parameter-Default layout#up-Parameter-Default layout;tk-Parameter-Default layout#up-Parameter-Default layout;tk-Parameter-Default layout#up-Parameter-Default layout;tk-Parameter-Default layout#up-Parameter-Default layout;tk-Parameter-Default layout#up-Parameter-Default layout;tk-Parameter-Default layout#up-Parameter-Default layout;tk-Parameter-Default layout#up-Parameter-Default layout;;tk-Parameter-Default layout#up-Parameter-Default layout;tk-Parameter-Default layout#up-Parameter-Default layout;tk-Parameter-Default layout#up-Parameter-Default layout;;tk-Parameter-Default layout#up-Parameter-Default layout;;;tk-Parameter-Default layout#up-Parameter-Default layout;;;;tk-Parameter-Default layout#up-Parameter-Default layout;tk-Parameter-Default layout#up-Parameter-Default layout;tk-Parameter-Default layout#up-Parameter-Default layout;tk-Parameter-Default layout#up-Parameter-Default layout;tk-Parameter-Default layout#up-Parameter-Default layout;tk-Parameter-Default layout#up-Parameter-Default layout;tk-Parameter-Default layout#up-Parameter-Default layout;;;;tk-Parameter-Default layout#up-Parameter-Default layout;tk-Parameter-Default layout#up-Parameter-Default layout;tk-Parameter-Default layout#up-Parameter-Default layout;tk-Parameter-Default layout#up-Parameter-Default layout;tk-Parameter-Default layout#up-Parameter-Default layout;;;tk-Parameter-Default layout#up-Parameter-Default layout;;tk-Parameter-Default layout#up-Parameter-Default layout;;tk-Parameter-Default layout#up-Parameter-Default layout;;;tk-Parameter-Default layout#up-Parameter-Default layout
DocLnkDefaultType-Default document link type;;;;;;;;;;;;;;;;;;;;;;;;;;;;tk-Document Link-Default #up-Document Link-Default ;;;;tk-Document Link-Default #up-Document Link-Default ;;;;;;;;;;;;;;;
Expii1-Infofield to be exported;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Expii10-Infofield to be exported;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Expii2-Infofield to be exported;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Expii3-Infofield to be exported;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Expii4-Infofield to be exported;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Expii5-Infofield to be exported;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Expii6-Infofield to be exported;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Expii7-Infofield to be exported;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Expii8-Infofield to be exported;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Expii9-Infofield to be exported;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Expme1-Method to be exported;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Expme10-Method to be exported;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Expme2-Method to be exported;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Expme3-Method to be exported;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Expme4-Method to be exported;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Expme5-Method to be exported;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Expme6-Method to be exported;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Expme7-Method to be exported;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Expme8-Method to be exported;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Expme9-Method to be exported;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ExpPdaLov-Include list of values for export to PDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ExpPdaXslt-XSLT for export to PDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ExpSAPXslt-XSLT for export to SAP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ExpScCreateTk-List of sample type to export to PDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ExpXslt-XSLT for export;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
full_details-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
handle_events-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
icEscapeMandatory-Leave info card by escape key;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IgnoreStatus-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ImportXslt-XSLT for import;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lab-Laboratory to which the user belongs;;;up-Lab-Equipment Management;;;;up-Lab-Equipment Management;;;up-Lab-Equipment Management;;;;;;up-Lab-Equipment Management;;;;;;;;up-Lab-Equipment Management;;up-Lab-Equipment Management;;;;;;up-Lab-Equipment Management;;;;up-Lab-Equipment Management;;;;;up-Lab-Equipment Management;;;up-Lab-Equipment Management;;;up-Lab-Equipment Management
ListOfValues-Export Groupkey ListOfValues;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LockApplication-Inactive period;up--Security;;up--Security;;up--Security;up--Security;up--Security;;up--Security;up--Security;;;;;;;;;;;;;;up--Security;;up--Security;up--Security;;;;;;up--Security;;up--Security;up--Security;;;;;;up--Security;;up--Security;;;up--Security
meEscapeMandatory-Leave method by escape key;tk-Method-Data input#up-Method-Data input;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
meResultEditable-Method result editable;tk-Method-Data access#up-Method-Data access;tk-Method-Data access#up-Method-Data access;tk-Method-Data access#up-Method-Data access;tk-Method-Data access#up-Method-Data access;tk-Method-Data access#up-Method-Data access;;tk-Method-Data access#up-Method-Data access;tk-Method-Data access#up-Method-Data access;;;;;;tk-Method-Data access#up-Method-Data access;;tk-Method-Data access#up-Method-Data access;;;;;;;tk-Method-Data access#up-Method-Data access;tk-Method-Data access#up-Method-Data access;tk-Method-Data access#up-Method-Data access;tk-Method-Data access#up-Method-Data access;tk-Method-Data access#up-Method-Data access;;;;;;tk-Method-Data access#up-Method-Data access;;tk-Method-Data access#up-Method-Data access;tk-Method-Data access#up-Method-Data access;;;;tk-Method-Data access#up-Method-Data access;;tk-Method-Data access#up-Method-Data access;;tk-Method-Data access#up-Method-Data access;;;
Merge-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ObjectLifeCycle-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ObjectStatus-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
overWriteStatus-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paResultEditable-Parameter result editable;tk-Parameter-Data access#up-Parameter-Data access;tk-Parameter-Data access#up-Parameter-Data access;tk-Parameter-Data access#up-Parameter-Data access;tk-Parameter-Data access#up-Parameter-Data access;tk-Parameter-Data access#up-Parameter-Data access;;tk-Parameter-Data access#up-Parameter-Data access;tk-Parameter-Data access#up-Parameter-Data access;;;;;;tk-Parameter-Data access#up-Parameter-Data access;;tk-Parameter-Data access#up-Parameter-Data access;;;;;;;tk-Parameter-Data access#up-Parameter-Data access;tk-Parameter-Data access#up-Parameter-Data access;tk-Parameter-Data access#up-Parameter-Data access;tk-Parameter-Data access#up-Parameter-Data access;tk-Parameter-Data access#up-Parameter-Data access;;tk-Parameter-Data access#up-Parameter-Data access;;;;tk-Parameter-Data access#up-Parameter-Data access;;tk-Parameter-Data access#up-Parameter-Data access;tk-Parameter-Data access#up-Parameter-Data access;;;;tk-Parameter-Data access#up-Parameter-Data access;;tk-Parameter-Data access#up-Parameter-Data access;;tk-Parameter-Data access#up-Parameter-Data access;;;
pgResultEditable-Parameter Group result editable;tk-Parameter Group-Data access#up-Parameter Group-Data access;;tk-Parameter Group-Data access#up-Parameter Group-Data access;;tk-Parameter Group-Data access#up-Parameter Group-Data access;;tk-Parameter Group-Data access#up-Parameter Group-Data access;;;;;;;tk-Parameter Group-Data access#up-Parameter Group-Data access;;tk-Parameter Group-Data access#up-Parameter Group-Data access;;;tk-Parameter Group-Data access#up-Parameter Group-Data access;;;;tk-Parameter Group-Data access#up-Parameter Group-Data access;tk-Parameter Group-Data access#up-Parameter Group-Data access;tk-Parameter Group-Data access#up-Parameter Group-Data access;tk-Parameter Group-Data access#up-Parameter Group-Data access;tk-Parameter Group-Data access#up-Parameter Group-Data access;;tk-Parameter Group-Data access#up-Parameter Group-Data access;;;;tk-Parameter Group-Data access#up-Parameter Group-Data access;;tk-Parameter Group-Data access#up-Parameter Group-Data access;tk-Parameter Group-Data access#up-Parameter Group-Data access;;;;tk-Parameter Group-Data access#up-Parameter Group-Data access;;tk-Parameter Group-Data access#up-Parameter Group-Data access;;tk-Parameter Group-Data access#up-Parameter Group-Data access;;;
ptAssignStTask-Task to assign sample types to protocol cells;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ptCellsAsDetLayout-Hierarchical layout of Protocol Cell Details;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ptCellsAssignLayout-Hierarchical layout of Protocol Cell Details;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ptCellsDefLayout-Layout of the Protocol Details;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ptDefLayout-Layout of the Protocol list;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ReanalWithoutComment-Reanalyse without comment;tk-All Operational-Change status#up-All Operational-Change status;tk-All Operational-Change status#up-All Operational-Change status;tk-All Operational-Change status#up-All Operational-Change status;tk-All Operational-Change status#up-All Operational-Change status;tk-All Operational-Change status#up-All Operational-Change status;tk-All Operational-Change status#up-All Operational-Change status;tk-All Operational-Change status#up-All Operational-Change status;;;tk-All Operational-Change status#up-All Operational-Change status;;tk-All Operational-Change status#up-All Operational-Change status;tk-All Operational-Change status#up-All Operational-Change status;tk-All Operational-Change status#up-All Operational-Change status;;tk-All Operational-Change status#up-All Operational-Change status;;;;;;;tk-All Operational-Change status#up-All Operational-Change status;tk-All Operational-Change status#up-All Operational-Change status;;tk-All Operational-Change status#up-All Operational-Change status;tk-All Operational-Change status#up-All Operational-Change status;tk-All Operational-Change status#up-All Operational-Change status;tk-All Operational-Change status#up-All Operational-Change status;;;;tk-All Operational-Change status#up-All Operational-Change status;tk-All Operational-Change status#up-All Operational-Change status;tk-All Operational-Change status#up-All Operational-Change status;;tk-All Operational-Change status#up-All Operational-Change status;;;tk-All Operational-Change status#up-All Operational-Change status;;tk-All Operational-Change status#up-All Operational-Change status;;tk-All Operational-Change status#up-All Operational-Change status;;;tk-All Operational-Change status#up-All Operational-Change status
rqCopyDefCopyIival-Whether or not to copy request infofield values;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rqCopyDefCopyScIival-Whether or not to copy request sample infofield values;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rqCopyDefCopyScPaRes-Whether or not to copy request sample parameter values;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
